Time(s),Velocity_Without_ABS(m/s),Velocity_With_ABS(m/s),Acceleration_Without_ABS(m/s2),Acceleration_With_ABS(m/s2),Distance_Without_ABS(m),Distance_With_ABS(m),Slip_Ratio(%)
0.00,30.00,30.00,-8.34,-8.34,0.00,0.00,0.00
0.10,29.17,29.17,-8.34,-8.34,2.98,2.98,2.50
0.20,28.34,28.34,-8.34,-8.34,5.94,5.94,5.10
0.30,27.51,27.51,-8.34,-8.34,8.88,8.88,7.90
0.40,26.67,26.62,-8.34,-5.84,11.79,11.74,11.08
0.50,25.84,25.91,-8.34,-8.34,14.68,14.68,14.48
0.60,25.01,25.19,-8.34,-5.84,17.54,17.60,17.99
0.70,24.18,24.47,-8.34,-8.34,20.38,20.50,21.60
0.80,23.35,23.75,-8.34,-5.84,23.19,23.37,25.32
0.90,22.52,23.03,-8.34,-8.34,25.98,26.21,29.14
1.00,21.69,22.31,-8.34,-5.84,28.74,28.02,33.07
1.10,20.86,21.59,-8.34,-8.34,31.48,31.79,37.10
1.20,20.03,20.87,-8.34,-5.84,34.19,33.54,41.24
1.30,19.19,20.15,-8.34,-8.34,36.88,36.26,45.48
1.40,18.36,19.43,-8.34,-5.84,39.55,37.96,49.82
1.50,17.53,18.71,-8.34,-8.34,42.19,40.62,54.27
1.60,16.70,17.99,-8.34,-5.84,44.81,42.25,58.83
1.70,15.87,17.27,-8.34,-8.34,47.40,44.85,63.50
1.80,15.04,16.55,-8.34,-5.84,49.96,46.42,68.28
1.90,14.21,15.83,-8.34,-8.34,52.50,47.96,73.17
2.00,13.38,15.11,-8.34,-5.84,54.99,49.48,78.17
2.10,12.55,14.39,-8.34,-8.34,57.47,50.96,83.28
2.20,11.72,13.67,-8.34,-5.84,59.91,52.40,88.50
2.30,10.89,12.95,-8.34,-8.34,62.32,53.81,93.83
2.40,10.06,12.23,-8.34,-5.84,64.71,55.18,99.27
2.50,9.23,11.51,-8.34,-8.34,67.06,56.52,104.82
2.60,8.40,10.79,-8.34,-5.84,69.38,57.82,110.48
2.70,7.57,10.07,-8.34,-8.34,71.68,59.08,116.25
2.80,6.74,9.35,-8.34,-5.84,73.94,60.30,122.13
2.90,5.91,8.63,-8.34,-8.34,76.16,61.48,128.12
3.00,5.08,7.91,-8.34,-5.84,78.36,62.62,134.22
3.10,4.25,7.19,-8.34,-8.34,80.52,63.72,140.43
3.20,3.42,6.47,-8.34,-5.84,82.65,64.78,146.75
3.30,2.59,5.75,-8.34,-8.34,84.75,65.80,153.18
3.40,1.76,5.03,-8.34,-5.84,86.81,66.77,159.72
3.50,0.93,4.31,-8.34,-8.34,88.84,67.71,166.37
3.60,0.10,3.59,-8.34,-5.84,90.83,68.60,173.13
3.70,0.00,2.87,-8.34,-8.34,90.93,69.45,180.00
3.80,0.00,2.15,-8.34,-5.84,90.93,70.26,180.00
3.90,0.00,1.43,-8.34,-8.34,90.93,70.73,180.00
4.00,0.00,0.71,-8.34,-5.84,90.93,71.05,180.00
4.10,0.00,0.00,-8.34,-8.34,90.93,71.20,180.00
4.20,0.00,0.00,0.00,0.00,90.93,71.20,180.00
4.30,0.00,0.00,0.00,0.00,90.93,71.20,180.00
4.40,0.00,0.00,0.00,0.00,90.93,71.20,180.00
4.50,0.00,0.00,0.00,0.00,90.93,71.20,180.00
5.00,0.00,0.00,0.00,0.00,90.93,71.20,180.00
